--------------- VOSTOK FLIGHT DATA ---------------
	battery	alt	temp	accelX	accelY	accelZ	rotA	rotX	rotY	rotZ
6.13	104.00	-0.42	40.33	0.63	-8.08	-0.30	0.37	-0.99	-0.09	0.00
6.15	104.00	-0.40	40.34	0.62	-8.06	-0.33	0.38	-0.99	-0.09	0.00
6.16	104.00	-0.40	40.34	0.62	-8.08	-0.31	0.39	-1.00	-0.09	0.00
6.17	104.00	-0.40	40.34	0.62	-8.05	-0.27	0.39	-1.00	-0.09	0.00
6.18	104.00	-0.40	40.34	0.60	-8.09	-0.25	0.40	-0.99	-0.09	0.00
6.19	104.00	-0.42	40.35	0.62	-8.08	-0.23	0.41	-0.99	-0.09	0.00
6.20	104.00	-0.42	40.35	0.61	-8.06	-0.25	0.41	-1.00	-0.09	0.00
6.21	104.00	-0.42	40.35	0.61	-8.07	-0.26	0.42	-0.99	-0.09	0.00
6.22	104.00	-0.42	40.35	0.60	-8.06	-0.24	0.43	-0.99	-0.09	0.00
6.23	104.00	-0.37	40.36	0.59	-8.05	-0.21	0.43	-1.00	-0.09	0.00
6.24	104.00	-0.37	40.36	0.58	-8.06	-0.24	0.44	-1.00	-0.09	0.00
6.25	104.00	-0.37	40.36	0.60	-8.05	-0.19	0.45	-0.99	-0.09	0.00
6.26	104.00	-0.37	40.36	0.56	-8.07	-0.24	0.46	-1.00	-0.09	0.00
6.27	104.00	-0.41	40.37	0.58	-8.07	-0.21	0.46	-1.00	-0.09	0.00
6.28	104.00	-0.41	40.37	0.59	-8.08	-0.20	0.47	-1.00	-0.09	0.00
6.29	104.00	-0.41	40.37	0.56	-8.04	-0.23	0.48	-1.00	-0.09	0.00
6.30	104.00	-0.41	40.37	0.56	-8.07	-0.23	0.48	-1.00	-0.09	0.00
6.31	104.00	-0.39	40.37	0.57	-8.07	-0.23	0.49	-1.00	-0.09	0.00
6.32	104.00	-0.39	40.37	0.54	-8.09	-0.22	0.50	-1.00	-0.09	0.00
6.33	104.00	-0.39	40.37	0.53	-8.06	-0.23	0.50	-1.00	-0.09	0.00
6.34	104.00	-0.40	40.38	0.55	-8.06	-0.21	0.51	-1.00	-0.09	0.00
6.35	104.00	-0.40	40.38	0.54	-8.06	-0.23	0.52	-1.00	-0.09	0.00
6.36	104.00	-0.40	40.38	0.53	-8.05	-0.23	0.52	-1.00	-0.09	0.00
6.37	104.00	-0.40	40.38	0.55	-8.05	-0.22	0.53	-1.00	-0.09	0.00
6.38	104.00	-0.39	40.39	0.54	-8.04	-0.25	0.53	-1.00	-0.09	0.00
6.39	104.00	-0.39	40.39	0.56	-8.06	-0.28	0.54	-1.00	-0.09	0.00
6.40	104.00	-0.39	40.39	0.52	-8.07	-0.24	0.55	-1.00	-0.09	0.00
6.41	104.00	-0.39	40.39	0.53	-8.05	-0.27	0.55	-1.00	-0.09	0.00
6.42	104.00	-0.41	40.40	0.52	-8.05	-0.26	0.56	-1.00	-0.09	0.00
